Kód obce,Název obce,Voliči v seznamu,Vydané obálky,Platné hlasy,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Unie H.A.V.E.L.,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
533459,Krupá,324,197,195,"3,58 %","0,00 %","0,00 %","5,12 %","0,00 %","9,74 %","13,33 %","1,53 %","1,53 %","2,56 %","0,00 %","0,00 %","11,28 %","0,00 %","0,00 %","5,64 %","34,87 %","0,00 %","0,51 %","1,53 %","0,00 %","0,51 %","0,00 %","0,51 %","7,69 %","0,00 %"
599484,Krychnov,90,75,75,"8,00 %","0,00 %","0,00 %","8,00 %","0,00 %","16,00 %","8,00 %","1,33 %","1,33 %","0,00 %","0,00 %","0,00 %","8,00 %","0,00 %","0,00 %","2,66 %","21,33 %","0,00 %","0,00 %","4,00 %","0,00 %","0,00 %","0,00 %","0,00 %","21,33 %","0,00 %"
533467,Křečhoř,385,233,231,"9,95 %","0,00 %","0,00 %","4,76 %","0,00 %","25,10 %","14,28 %","0,00 %","0,86 %","0,43 %","0,00 %","0,43 %","9,95 %","0,00 %","0,00 %","3,03 %","24,24 %","0,00 %","0,43 %","2,16 %","0,00 %","0,43 %","0,00 %","0,00 %","3,89 %","0,00 %"
571717,Kšely,186,119,118,"15,25 %","0,00 %","0,00 %","7,62 %","0,00 %","2,54 %","5,93 %","0,00 %","0,84 %","5,93 %","0,00 %","0,00 %","7,62 %","0,00 %","0,00 %","8,47 %","32,20 %","0,00 %","0,00 %","0,00 %","0,00 %","0,84 %","0,00 %","0,00 %","12,71 %","0,00 %"
533475,Libenice,255,148,148,"2,70 %","0,00 %","0,00 %","4,05 %","0,00 %","18,24 %","8,10 %","1,35 %","1,35 %","0,67 %","0,00 %","0,00 %","6,75 %","0,00 %","0,00 %","9,45 %","31,08 %","0,00 %","0,00 %","2,70 %","0,00 %","1,35 %","0,00 %","0,67 %","11,48 %","0,00 %"
533483,Libodřice,228,161,160,"8,75 %","0,62 %","0,00 %","3,75 %","0,00 %","16,25 %","14,37 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","11,87 %","0,00 %","0,00 %","1,25 %","30,62 %","0,62 %","0,62 %","0,00 %","0,00 %","0,00 %","1,25 %","0,00 %","8,75 %","1,25 %"
513270,Lipec,149,101,101,"1,98 %","0,00 %","0,00 %","5,94 %","0,00 %","13,86 %","15,84 %","0,00 %","1,98 %","0,00 %","0,00 %","0,00 %","5,94 %","0,00 %","0,00 %","1,98 %","31,68 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","20,79 %","0,00 %"
533505,Lošany,254,136,136,"10,29 %","0,00 %","0,00 %","5,14 %","0,00 %","30,88 %","12,50 %","0,00 %","2,20 %","0,73 %","0,00 %","0,00 %","2,20 %","0,00 %","0,00 %","0,73 %","23,52 %","0,00 %","0,00 %","0,73 %","0,00 %","0,00 %","0,00 %","0,73 %","8,82 %","1,47 %"
533513,Malotice,265,188,187,"3,74 %","0,00 %","0,00 %","3,74 %","0,00 %","16,04 %","10,16 %","0,00 %","1,06 %","1,06 %","0,00 %","0,00 %","11,76 %","0,00 %","0,00 %","3,74 %","34,22 %","0,00 %","1,06 %","1,06 %","0,00 %","1,60 %","0,53 %","2,13 %","7,48 %","0,53 %"
564702,Masojedy,72,47,45,"31,11 %","0,00 %","0,00 %","2,22 %","0,00 %","6,66 %","2,22 %","0,00 %","4,44 %","4,44 %","0,00 %","0,00 %","11,11 %","0,00 %","0,00 %","8,88 %","20,00 %","0,00 %","0,00 %","2,22 %","0,00 %","0,00 %","0,00 %","4,44 %","2,22 %","0,00 %"
